company_name|description
Shwrüm|"Shwrüm (pronounced ""showroom"") is the first cloud-based Repeat Engagement Platform (REP) application for retailers and other small businesses. Their iPad solution empowers sales professionals to use tablets to track client information, schedule appointments, and communicate with clients. With Shwrüm, your customer relationships are at..."
Wise.io, Inc.|Wise.io delivers better customer experience through machine learning. Leveraging cutting-edge data science and built on a powerful machine learning engine that learns from past patterns to predict future behavior, Wise.io applications help business users regain control over complex decision making in the face of ever-growing and increasingly...
AVORA|AVORA consolidates data from hundreds of sources within an organisation, allowing access to users to analyse and act on the information that’s important to them. Utilising machine learning, AVORA automatically detects anomalies and trends, alerting users to key changes in business metrics.The company's vision is to simply create an easy to...
Sendwithus|"Dyspatch, the product by Sendwithus, is a cloud-based, communications management platform that allows Enterprise organizations to centralize email security, compliance, and reputation management while streamlining collaborative creation, revision, and approval workflows.
The GDPR-compliant solution empowers teams to deliver powerful, global..."
re:3D|re:3D reduces production complexity by providing affordable, industrial 3D printers that transform big ideas into tangible realities. With a build volume of eight cubic feet and robust construction, Gigabot can print objects 30x larger than competing desktop models. Up until now, personal 3D printing has been limited to toys and trinkets, while...
rankur|Rankur is an innovative tool for social media monitoring, online reputation management, and brand protection. It’s easy to use, efficient, and designed to support PR, marketing and web agencies/professionals in the process of tracking what’s said about brands, products, services or persons.Rankur scans +100M blog posts, +1M online reviews,...
Powervault|Powervault aims to disrupt the energy storage market by supplying the first plug and play energy storage device, which will lower household electricity bills by up to 15%. The patent-pending product uses an integrated battery and control system to store the free electricity generated from solar panels during the day and then release the stored...
papelook|With over 12 million downloads and counting, papelook is a collage & photo crop application.papelook is a free photo edit application that allows you to crop photos, edit layouts, decorate, insert text, and so on. Make your own scrapbook or collage book with papelook!How would you like to make your original scrapbook filled with...
o9 Solutions, Inc.|o9 Solutions is the leading provider of digital management platforms for visibility, analytics, planning, collaboration and continuous improvement of decision making processes across sales, supply chain, product innovation, integrated business planning, and more. Our game changing cloud software “mPower” elevates your organization’s expertise in...
MOJIO|Mojio is an open platform that offers a solution for the rapid deployment of secure and scalable aftermarket connected car services to enterprise customers, including mobile operators, automotive OEMs, car dealers, service centers, auto insurers, and fleets. The platform enables intelligent data analysis that unlocks previously unavailable revenue...
Mention|Mention offers a media monitoring app for brands to obtain filtered, organized, and prioritized information from the web and social networks.The application creates alerts for clients’ brand, industry, company, name, or competitors as well as inform in real-time about any mentions on the web and social web. Its application features include...
Makemoji|Makemoji was founded in October of 2013 and it is the first social network for emojis.
